,text,rated,coloring,date,bank,theme,name,sex
0,"По  справке  с налоговой  узнали о наличии  открытого  счета на свою фирму  в другом городе  . На  обращение  в банк   , сказали  , что  помочь  не могут  . Это мошеничество  -как  банк  открыл  счет без присутсвия  директора . без  доверенности   . Есть ли двжение  по  счету  не понятно  , кому уходят деньги  тем более .",1,bad,"13 сент, 2018",rajffajzenbank,Другое,Ольга,female
1,"Клиентом банка не являюсь. Вообще ни разу и ни дай Бог никогда и не буду!!! Звонят спрашивают человека, которого я не знаю. По хорошему пыталась объяснить. Нет звонять.  В эти выходные и в субботу и в воскресенье названивали по 35 раз. А как же законы РФ? Говорят должна идти в банк писать заявление. Бред. Я на пенсии. Живу  не в городе, в селе. До города 35 км. Маршрутка до автостанции и по городу туда-обратно. Я что миллионерша? И почему за чьи то слова которые работники банка ""не обязаны проверять"" отвечают простые люди, не имеющие к банку никогого отношения. ДА НУ И БАНК!!!",1,bad,"11 сент, 2018",sovkombank,Обслуживание,Ирина,female
2,"Добрый день! 20.08.2018 мною была оставлена онлайн заявка на кредит на вашем сайте. В тот же день было получено предварительное одобрение, направленное на электронную почту и в смс-сообщении. 21.08.2018 в 19.30 я обратился в отделение банка по адресу Московская область, г. Одинцово, Можайское шоссе, д. 153а, где специалисту Р-х Дарье был передан полный комплект документов. После чего специалист пояснил, что необходимо ждать от 1 до 3 рабочих дней, пока банк рассмотрит заявку. в 14.00 Р-х Дарья позвонила мне по мобильному телефону и сообщила, что банк одобрил мне кредит на сумму меньшую, чем я запрашивал и со страхованием жизни. При этом я согласился на эти условия. в 11.00  я обратился в то же отделение банка к тому же специалисту для окончательного оформления кредитного договора. Специалист сделала ксерокопии всех страниц моего паспорта и сказала ожидать финального одобрения в течении десяти минут. Но не через 10 минут, не через несколько часов одобрение получено не было. Приблительно в 13.30 со мной связался специалист банка с уточняющими вопросами по поводу места работы и целей кредита. Ответив на вопросы я продолжил ждать решения банка. в 11.30 я связался с отделением банка в Одинцово, где мне пояснили, что у специалиста Р-х Д. сегодня выходной и я попросил разобраться с моей ситуацией. Мне пояснили, что заявка находится на рассмотрении и возможно был сбой в программном обеспечении. В 13.05 мне поступил повторный звонок от специалиста рассматривающего одобрение кредита с просьбой уточнить номера телефонов моего руководителя и бухгалтерии по месту работы. В 17.40 я обратился по телефону горячей линии 8(800)100-24-24, где специалист по имени Роман, сообщил что кредит мне одобрен. 23.08.2018 был отказ от кредита по инициативе клиента, хотя я от кредита не отказывался. Прошу разобраться в моей ситуации и привлечь к ответственности виновных сотрудников. Слышал только хорошие отзывы о вашем банке от друзей и знакомых, но с таким отношением столкнулся впервые.",1,bad,"27 авг, 2018",vtb,Кредиты наличными,Слава,male
3,"Отделение по улице Коминтерна абсолютно не готово к первому рабочему дню в неделе. Оба банкомата не работают на прием денег. В кассе очередь около 20 человек и это 10:00 утра в понедельник. Нет техников, которые обслуживают банкоматы. Сегодня 27 чмсло( крайнее по внесению кредита). И что происходит в отделении( единственном на всю нижнюю часть) такого огромного города. Итог: потрачен час своего рабочего времени безрезультатно!",1,bad,"27 авг, 2018",rajffajzenbank,Обслуживание,Ольга,female
4,"Добрый день! Я, не являясь клиентом банка, на протяжении 2-х месяцев получаю звонки от банка с распросами о должнике (моей знакомой, которая, при получении кредита,оставила мой номер телефона как контактный). При этом на все мои заявления о том, что я не общаюсь с данным человеком, контактных данных и информации о месте ее нахождения не имею, банк отвечает:"" Как только она с нами свяжется, у нас не будет необходимости вам звонить"". На мою устную просьбу прекратить меня терроризировать (а звонки по 3-4 раза в день с разных номеров, в том числе и в выходные дни, никак кроме как психологическим  террором я назвать ее могу), и удалить мой номер из базы данных (так как согласие на обработку данных я не давала!!!), мне сообщили о необходимости посетить отделение банка!!! Почему я, не имея никакого отношения к банку и задолженности по кредиту, должна уходить с работы (рабочее время отделений банка в моем городе совпадает с моим рабочим графиком) ради того, чтоб решить эту проблему? Почему, поговорив и неоднократно объяснив ситуацию одному сотруднику, я получаю в это же время звонок от другого сотрудника?!  Мной на электронный адрес банка отправлено заявление-претензия и ответ о его регистрации мне отказываются предоставить регистрационный номер и решить проблему!",1,bad,"24 авг, 2018",promsvjazbank,Другое,Евгения,female
5,"Работают очень медленно. 2 раз пришла в банк и впечатление нервное. Ждёшь обслуживание минимум пол часа. И ещё не согласятся с мнением что ты в очереди стоишь 30 минут и ещё это мало. Прошу рассмотреть работу сотрудников банка по адресу г. Тверь, ул. Володарского 21",1,bad,"18 авг, 2018",gazprombank,Дебетовые карты,Надя,female
6,"Меня угораздило заключить с Совкомбанком срочный договор вклада на 6 мес. По истечении срока данного договора я по горячей линии сообщил банку о закрытии вклада и возврате суммы вклада и начисленных процентов,  заказал деньги заблаговременно за 4 дня. Работница банка приняла мой заявку,пояснила,что закрыть вклад и получить сумму вклада и начисленные проценты можно будет через 4 дня в офисе банка в г. Майкопе по ул. Краснооктябрьская, 41а. В подтверждение принятия заявки о закрытии вклада и возврате денег я получил от банка смс сообщение с четырехзначным номером заказа. В установленный срок я явился в указанный офис банка ,но сотрудница банка отказала мне в возврате суммы вклада  пояснив,что инкассация деньги не привезла и может быть привезут вечером.Я позвонил на горячую линию банка и просил разобраться с отказом в возврате суммы вклада. Сначала меня заверили,что деньги будут вечером. Явившись повторно в данный офис банка вечером я снова ничего не получил,т.к. деньги так и не привезли. При повторном обращении на горячую линию банка мне сказали,что ничем не могут помочь,посоветовали обратиться к работнику офиса и узнать когда привезут деньги. Сотрудница офиса банка записала мой номер телефона и сказала, что сообщит мне когда появятся у них деньги,при этом пожаловалась на то,что уже несколько дней не было инкассации, руководство поставлено об этом в известность, но никто никаких мер не принимает. Я на следующий день обратился в третий раз на горячую линию банка и сообщил о номере заказа и сложившейся ситуации. Однако в ответ работница  банка ошарашила меня сказав,что четырехзачного номера заявки у них  не существует и предположила заново подать заявку о закрытии вклада и ещё через дня прийти в другой офис банка в г. Майкопе по ул. Чкалова. В общем, неизвестно получу ли я свои деньги обратно в ближайшее время. Наверное придется обратиться в контролирующие банки органы и в суд. Я уже решил,что после получения суммы вклада я никогда больше в Совкомбанк не буду обращаться и вам советую тоже не приближаться к этому банку.",1,bad,"12 авг, 2018",sovkombank,Вклады,,unkn
7,"Хотела открыть премиальный пакет обслуживания в сочинском офисе. Приехала в субботу(о чем предварительно предупредила по телефону сотрудников банка) В субботу в банке рабочий день, в офисе был только один сотрудник, который отказался меня обслуживать и даже проконсультировать по премиальной программе, объяснив это тем, что она не может открыть мне этот пакет, ничего о нем не знает и доступа у нее к нему нет. На просьбу вызвать старшего сотрудника, она ответила, что она тут одна и никому звонить не будет,приезжайте в другой день!!! Позор такому крупному банку!!!!Ужасное обслуживание!!! Зря потраченные полдня в пробках!!!! Ощущение, что посетила не банк, а ларек на рынке!!!!",1,bad,"11 авг, 2018",promsvjazbank,Вклады,К,female
8,"Угораздило открыть вклад в Совкомбанке в городе Майкопе,при этом всучили мне карту халвы по условиям вклада. При окончании срока вклада заблаговременно за 4 дня заказал деньги на закрытие вклада,однако в установленный срок в офисе банка деньги мне отказались выдать ,сославшись на то,что якобы инкассация деньги не привозит уже второй день. Взяли мой номер телефона и обещали, что позвонят как появятся деньги. Звонил два раза на горячую линию банка,там сначала обещали,что до вечера выдадут деньги, а когда я приехал вечером в офис банка ,денег так и не выдали ,пояснив,что инкассация так и не привезла деньги. При повторном обращении на горячую линию банка,ответившая девушка ошарашила меня,сказав,что ничем помочь не может, посоветовала поговорить с работником банка в офисе и решать на месте вопрос. В  общем неизвестно когда я смогу забрать свои деньги у этого Совкомбанка(Совка). Если завтра этот банк не вернет сумму вклада ,буду обращаться в прокуратруру,в Роспотребнадзор . Никогда не имейте никаких дел с Совкомбанком,если не хотите получить такие проблемы!",1,bad,"10 авг, 2018",sovkombank,Вклады,,unkn
9,"Взяли небольшой кредит в данном банке, плачу исправно уже почти год, итак.. Во-первых, половина заявленных банком функций,связанных с кредитом, не работают: вы не сможете оплатить картой кредит в приложении или в личном кабинете, я пыталась каждый месяц, это обман, ""данная операция невозможна"" всегда и с любых карт, хотя и на сайте банка и в каждой рекламе есть информация об оплате онлайн в приложении. Во-вторых, личный кабинет часто зависает, последнюю неделю я вообще не могу зайти в него с компьютера, так как выдается сообщение о небезопасном соединении и попытке украсть мои данные. Дабы сразу отмести стандартную отписку банка, о проблемах у меня с ПК, сразу скажу, что такое сообщение выходит на любом компьютере, и не только у меня. Ну и третье, это вообще вишенка на торте. Все мы знаем о навязанных страховкам, но также знаем и о нашем законном праве отказать от нее в течение 5 дней. Так вот ПАО Первомайский плюет на ваши права. После получения кредита мною было написано заявление об отказе от страховке в письменном виде в главном офисе банка г. Краснодар. Сначала девушка отказывалась принимать заявление, после 5-минутной дискуссии и 20 минут ожидания, заявление наконец-таки приняли. После чего было 3 месяца ожидания ответа, звонки на горячую линию, где специалисты то видели, то не видели мое заявление и наконец, в феврале я получила отказ! Банк плевать хотел на законы и предписания ЦБ, ну что ж теперь мне придется в судебном порядке возмещать свои затраты, но тем кто еще не определился с банком, я хочу рекомендовать не связываться с данной конторой, чтобы не тратить по 2 часа на оплату кредита и на месяцы на судебные тяжбы. И да, банк абсолютно не хочет решать вышеуказанные вопросы и вести хоть какую-то обратную связь с клиетнами, кроме шаблонных стандартных отписок",1,bad,"30 июля, 2018",pervomajskij,Кредиты наличными,Марина,female
